x	y	z	dip	strike	event	
0.000000	1500.000000	8500.000000	89.999654	179.999654	2	
0.000000	1500.000000	8500.000000	67.922044	404.628762	3	
0.000000	1500.000000	9000.000000	67.922044	404.628762	0	
0.000000	1500.000000	9000.000000	89.999654	179.999654	1	
0.000000	1500.000000	9000.000000	89.999654	179.999654	2	
0.000000	1500.000000	9000.000000	67.922044	404.628762	3	
0.000000	1500.000000	9500.000000	67.922044	404.628762	0	
0.000000	1500.000000	9500.000000	89.999654	179.999654	1	
0.000000	1500.000000	9500.000000	89.999654	179.999654	2	
0.000000	1500.000000	9500.000000	67.922044	404.628762	3	
0.000000	1500.000000	10000.000000	67.922044	404.628762	0	
0.000000	1500.000000	10000.000000	89.999654	179.999654	1	
0.000000	1500.000000	10000.000000	89.999654	179.999654	2	
0.000000	1500.000000	10000.000000	67.922044	404.628762	3	
500.000000	1500.000000	5000.000000	67.922044	404.628762	0	
500.000000	1500.000000	5000.000000	89.999654	179.999654	1	
500.000000	1500.000000	5000.000000	89.999654	179.999654	2	
500.000000	1500.000000	5000.000000	69.965373	399.166448	3	
500.000000	1500.000000	5500.000000	69.965373	399.166448	0	
500.000000	1500.000000	5500.000000	89.999654	179.999654	1	
500.000000	1500.000000	5500.000000	89.999654	179.999654	2	
500.000000	1500.000000	5500.000000	69.965373	399.166448	3	
500.000000	1500.000000	6000.000000	69.965373	399.166448	0	
500.000000	1500.000000	6000.000000	89.999654	179.999654	1	
500.000000	1500.000000	6000.000000	89.999654	179.999654	2	
500.000000	1500.000000	6000.000000	69.965373	399.166448	3	
500.000000	1500.000000	6500.000000	69.965373	399.166448	0	
500.000000	1500.000000	6500.000000	89.999654	179.999654	1	
500.000000	1500.000000	6500.000000	89.999654	179.999654	2	
500.000000	1500.000000	6500.000000	69.965373	399.166448	3	
500.000000	1500.000000	7000.000000	69.965373	399.166448	0	
500.000000	1500.000000	7000.000000	89.999654	179.999654	1	
500.000000	1500.000000	7000.000000	89.999654	179.999654	2	
500.000000	1500.000000	7000.000000	69.965373	399.166448	3	
500.000000	1500.000000	7500.000000	69.965373	399.166448	0	
500.000000	1500.000000	7500.000000	89.999654	179.999654	1	
500.000000	1500.000000	7500.000000	89.999654	179.999654	2	
500.000000	1500.000000	7500.000000	69.965373	399.166448	3	
500.000000	1500.000000	8000.000000	69.965373	399.166448	0	
500.000000	1500.000000	8000.000000	89.999654	179.999654	1	
500.000000	1500.000000	8000.000000	89.999654	179.999654	2	
500.000000	1500.000000	8000.000000	69.965373	399.166448	3	
500.000000	1500.000000	8500.000000	69.965373	399.166448	0	
500.000000	1500.000000	8500.000000	89.999654	179.999654	1	
500.000000	1500.000000	8500.000000	89.999654	179.999654	2	
500.000000	1500.000000	8500.000000	69.965373	399.166448	3	
500.000000	1500.000000	9000.000000	69.965373	399.166448	0	
500.000000	1500.000000	9000.000000	89.999654	179.999654	1	
500.000000	1500.000000	9000.000000	89.999654	179.999654	2	
500.000000	1500.000000	9000.000000	69.965373	399.166448	3	
500.000000	1500.000000	9500.000000	69.965373	399.166448	0	
500.000000	1500.000000	9500.000000	89.999654	179.999654	1	
500.000000	1500.000000	9500.000000	89.999654	179.999654	2	
500.000000	1500.000000	9500.000000	69.965373	399.166448	3	
500.000000	1500.000000	10000.000000	69.965373	399.166448	0	
500.000000	1500.000000	10000.000000	89.999654	179.999654	1	
500.000000	1500.000000	10000.000000	89.999654	179.999654	2	
500.000000	1500.000000	10000.000000	69.965373	399.166448	3	
1000.000000	1500.000000	5000.000000	69.965373	399.166448	0	
1000.000000	1500.000000	5000.000000	89.999654	179.999654	1	
1000.000000	1500.000000	5000.000000	89.999654	179.999654	2	
1000.000000	1500.000000	5000.000000	71.162932	396.218364	3	
1000.000000	1500.000000	5500.000000	71.162932	396.218364	0	
1000.000000	1500.000000	5500.000000	89.999654	179.999654	1	
1000.000000	1500.000000	5500.000000	89.999654	179.999654	2	
1000.000000	1500.000000	5500.000000	71.162932	396.218364	3	
1000.000000	1500.000000	6000.000000	71.162932	396.218364	0	
1000.000000	1500.000000	6000.000000	89.999654	179.999654	1	
1000.000000	1500.000000	6000.000000	89.999654	179.999654	2	
1000.000000	1500.000000	6000.000000	71.162932	396.218364	3	
1000.000000	1500.000000	6500.000000	71.162932	396.218364	0	
1000.000000	1500.000000	6500.000000	89.999654	179.999654	1	
1000.000000	1500.000000	6500.000000	89.999654	179.999654	2	
1000.000000	1500.000000	6500.000000	71.162932	396.218364	3	
1000.000000	1500.000000	7000.000000	71.162932	396.218364	0	
1000.000000	1500.000000	7000.000000	89.999654	179.999654	1	
1000.000000	1500.000000	7000.000000	89.999654	179.999654	2	
1000.000000	1500.000000	7000.000000	71.162932	396.218364	3	
1000.000000	1500.000000	7500.000000	71.162932	396.218364	0	
1000.000000	1500.000000	7500.000000	89.999654	179.999654	1	
1000.000000	1500.000000	7500.000000	89.999654	179.999654	2	
1000.000000	1500.000000	7500.000000	71.162932	396.218364	3	
1000.000000	1500.000000	8000.000000	71.162932	396.218364	0	
1000.000000	1500.000000	8000.000000	89.999654	179.999654	1	
1000.000000	1500.000000	8000.000000	89.999654	179.999654	2	
1000.000000	1500.000000	8000.000000	71.162932	396.218364	3	
1000.000000	1500.000000	8500.000000	71.162932	396.218364	0	
1000.000000	1500.000000	8500.000000	89.999654	179.999654	1	
1000.000000	1500.000000	8500.000000	89.999654	179.999654	2	
1000.000000	1500.000000	8500.000000	71.162932	396.218364	3	
1000.000000	1500.000000	9000.000000	71.162932	396.218364	0	
1000.000000	1500.000000	9000.000000	89.999654	179.999654	1	
1000.000000	1500.000000	9000.000000	89.999654	179.999654	2	
1000.000000	1500.000000	9000.000000	71.162932	396.218364	3	
1000.000000	1500.000000	9500.000000	71.162932	396.218364	0	
1000.000000	1500.000000	9500.000000	89.999654	179.999654	1	
1000.000000	1500.000000	9500.000000	89.999654	179.999654	2	
1000.000000	1500.000000	9500.000000	71.162932	396.218364	3	
1000.000000	1500.000000	10000.000000	71.162932	396.218364	0	
1000.000000	1500.000000	10000.000000	89.999654	179.999654	1	
1000.000000	1500.000000	10000.000000	89.999654	179.999654	2	
1000.000000	1500.000000	10000.000000	71.162932	396.218364	3	
1500.000000	1500.000000	5000.000000	71.162932	396.218364	0	
1500.000000	1500.000000	5000.000000	89.999654	179.999654	1	
1500.000000	1500.000000	5000.000000	89.999654	179.999654	2	
1500.000000	1500.000000	5000.000000	71.151072	396.246797	3	
1500.000000	1500.000000	5500.000000	71.151072	396.246797	0	
1500.000000	1500.000000	5500.000000	89.999654	179.999654	1	
1500.000000	1500.000000	5500.000000	89.999654	179.999654	2	
1500.000000	1500.000000	5500.000000	71.151072	396.246797	3	
1500.000000	1500.000000	6000.000000	71.151072	396.246797	0	
1500.000000	1500.000000	6000.000000	89.999654	179.999654	1	
1500.000000	1500.000000	6000.000000	89.999654	179.999654	2	
1500.000000	1500.000000	6000.000000	71.151072	396.246797	3	
1500.000000	1500.000000	6500.000000	71.151072	396.246797	0	
1500.000000	1500.000000	6500.000000	89.999654	179.999654	1	
1500.000000	1500.000000	6500.000000	89.999654	179.999654	2	
1500.000000	1500.000000	6500.000000	71.151072	396.246797	3	
1500.000000	1500.000000	7000.000000	71.151072	396.246797	0	
1500.000000	1500.000000	7000.000000	89.999654	179.999654	1	
1500.000000	1500.000000	7000.000000	89.999654	179.999654	2	
1500.000000	1500.000000	7000.000000	71.151072	396.246797	3	
1500.000000	1500.000000	7500.000000	71.151072	396.246797	0	
1500.000000	1500.000000	7500.000000	89.999654	179.999654	1	
1500.000000	1500.000000	7500.000000	89.999654	179.999654	2	
1500.000000	1500.000000	7500.000000	71.151072	396.246797	3	
1500.000000	1500.000000	8000.000000	71.151072	396.246797	0	
1500.000000	1500.000000	8000.000000	89.999654	179.999654	1	
1500.000000	1500.000000	8000.000000	89.999654	179.999654	2	
1500.000000	1500.000000	8000.000000	71.151072	396.246797	3	
1500.000000	1500.000000	8500.000000	71.151072	396.246797	0	
1500.000000	1500.000000	8500.000000	89.999654	179.999654	1	
1500.000000	1500.000000	8500.000000	89.999654	179.999654	2	
1500.000000	1500.000000	8500.000000	71.151072	396.246797	3	
1500.000000	1500.000000	9000.000000	71.151072	396.246797	0	
1500.000000	1500.000000	9000.000000	89.999654	179.999654	1	
1500.000000	1500.000000	9000.000000	89.999654	179.999654	2	
1500.000000	1500.000000	9000.000000	71.151072	396.246797	3	
1500.000000	1500.000000	9500.000000	71.151072	396.246797	0	
1500.000000	1500.000000	9500.000000	89.999654	179.999654	1	
1500.000000	1500.000000	9500.000000	89.999654	179.999654	2	
1500.000000	1500.000000	9500.000000	71.151072	396.246797	3	
1500.000000	1500.000000	10000.000000	71.151072	396.246797	0	
1500.000000	1500.000000	10000.000000	89.999654	179.999654	1	
1500.000000	1500.000000	10000.000000	89.999654	179.999654	2	
1500.000000	1500.000000	10000.000000	71.151072	396.246797	3	
2000.000000	1500.000000	5000.000000	71.151072	396.246797	0	
2000.000000	1500.000000	5000.000000	89.999654	179.999654	1	
2000.000000	1500.000000	5000.000000	89.999654	179.999654	2	
2000.000000	1500.000000	5000.000000	70.370847	398.150099	3	
2000.000000	1500.000000	5500.000000	70.370847	398.150099	0	
2000.000000	1500.000000	5500.000000	89.999654	179.999654	1	
2000.000000	1500.000000	5500.000000	89.999654	179.999654	2	
2000.000000	1500.000000	5500.000000	70.370847	398.150099	3	
2000.000000	1500.000000	6000.000000	70.370847	398.150099	0	
2000.000000	1500.000000	6000.000000	89.999654	179.999654	1	
2000.000000	1500.000000	6000.000000	89.999654	179.999654	2	
2000.000000	1500.000000	6000.000000	70.370847	398.150099	3	
2000.000000	1500.000000	6500.000000	70.370847	398.150099	0	
2000.000000	1500.000000	6500.000000	89.999654	179.999654	1	
2000.000000	1500.000000	6500.000000	89.999654	179.999654	2	
2000.000000	1500.000000	6500.000000	70.370847	398.150099	3	
2000.000000	1500.000000	7000.000000	70.370847	398.150099	0	
2000.000000	1500.000000	7000.000000	89.999654	179.999654	1	
2000.000000	1500.000000	7000.000000	89.999654	179.999654	2	
2000.000000	1500.000000	7000.000000	70.370847	398.150099	3	
2000.000000	1500.000000	7500.000000	70.370847	398.150099	0	
2000.000000	1500.000000	7500.000000	89.999654	179.999654	1	
2000.000000	1500.000000	7500.000000	89.999654	179.999654	2	
2000.000000	1500.000000	7500.000000	70.370847	398.150099	3	
2000.000000	1500.000000	8000.000000	70.370847	398.150099	0	
2000.000000	1500.000000	8000.000000	89.999654	179.999654	1	
2000.000000	1500.000000	8000.000000	89.999654	179.999654	2	
2000.000000	1500.000000	8000.000000	70.370847	398.150099	3	
2000.000000	1500.000000	8500.000000	70.370847	398.150099	0	
2000.000000	1500.000000	8500.000000	89.999654	179.999654	1	
2000.000000	1500.000000	8500.000000	89.999654	179.999654	2	
2000.000000	1500.000000	8500.000000	70.370847	398.150099	3	
2000.000000	1500.000000	9000.000000	70.370847	398.150099	0	
2000.000000	1500.000000	9000.000000	89.999654	179.999654	1	
2000.000000	1500.000000	9000.000000	89.999654	179.999654	2	
2000.000000	1500.000000	9000.000000	70.370847	398.150099	3	
2000.000000	1500.000000	9500.000000	70.370847	398.150099	0	
2000.000000	1500.000000	9500.000000	89.999654	179.999654	1	
2000.000000	1500.000000	9500.000000	89.999654	179.999654	2	
2000.000000	1500.000000	9500.000000	70.370847	398.150099	3	
2000.000000	1500.000000	10000.000000	70.370847	398.150099	0	
2000.000000	1500.000000	10000.000000	89.999654	179.999654	1	
2000.000000	1500.000000	10000.000000	89.999654	179.999654	2	
2000.000000	1500.000000	10000.000000	70.370847	398.150099	3	
2500.000000	1500.000000	5000.000000	70.370847	398.150099	0	
2500.000000	1500.000000	5000.000000	89.999654	179.999654	1	
2500.000000	1500.000000	5000.000000	89.999654	179.999654	2	
2500.000000	1500.000000	5000.000000	67.479139	405.902057	3	
2500.000000	1500.000000	5500.000000	67.479139	405.902057	0	
2500.000000	1500.000000	5500.000000	89.999654	179.999654	1	
2500.000000	1500.000000	5500.000000	89.999654	179.999654	2	
2500.000000	1500.000000	5500.000000	67.479139	405.902057	3	
2500.000000	1500.000000	6000.000000	67.479139	405.902057	0	
2500.000000	1500.000000	6000.000000	89.999654	179.999654	1	
2500.000000	1500.000000	6000.000000	89.999654	179.999654	2	
2500.000000	1500.000000	6000.000000	67.479139	405.902057	3	
2500.000000	1500.000000	6500.000000	67.479139	405.902057	0	
2500.000000	1500.000000	6500.000000	89.999654	179.999654	1	
2500.000000	1500.000000	6500.000000	89.999654	179.999654	2	
2500.000000	1500.000000	6500.000000	67.479139	405.902057	3	
2500.000000	1500.000000	7000.000000	67.479139	405.902057	0	
2500.000000	1500.000000	7000.000000	89.999654	179.999654	1	
2500.000000	1500.000000	7000.000000	89.999654	179.999654	2	
2500.000000	1500.000000	7000.000000	67.479139	405.902057	3	
2500.000000	1500.000000	7500.000000	67.479139	405.902057	0	
2500.000000	1500.000000	7500.000000	89.999654	179.999654	1	
2500.000000	1500.000000	7500.000000	89.999654	179.999654	2	
2500.000000	1500.000000	7500.000000	67.479139	405.902057	3	
2500.000000	1500.000000	8000.000000	67.479139	405.902057	0	
2500.000000	1500.000000	8000.000000	89.999654	179.999654	1	
2500.000000	1500.000000	8000.000000	89.999654	179.999654	2	
2500.000000	1500.000000	8000.000000	67.479139	405.902057	3	
2500.000000	1500.000000	8500.000000	67.479139	405.902057	0	
2500.000000	1500.000000	8500.000000	89.999654	179.999654	1	
2500.000000	1500.000000	8500.000000	89.999654	179.999654	2	
2500.000000	1500.000000	8500.000000	67.479139	405.902057	3	
2500.000000	1500.000000	9000.000000	67.479139	405.902057	0	
2500.000000	1500.000000	9000.000000	89.999654	179.999654	1	
2500.000000	1500.000000	9000.000000	89.999654	179.999654	2	
2500.000000	1500.000000	9000.000000	67.479139	405.902057	3	
2500.000000	1500.000000	9500.000000	67.479139	405.902057	0	
2500.000000	1500.000000	9500.000000	89.999654	179.999654	1	
2500.000000	1500.000000	9500.000000	89.999654	179.999654	2	
2500.000000	1500.000000	9500.000000	67.479139	405.902057	3	
2500.000000	1500.000000	10000.000000	67.479139	405.902057	0	
2500.000000	1500.000000	10000.000000	89.999654	179.999654	1	
2500.000000	1500.000000	10000.000000	89.999654	179.999654	2	
2500.000000	1500.000000	10000.000000	67.479139	405.902057	3	
3000.000000	1500.000000	5000.000000	67.479139	405.902057	0	
3000.000000	1500.000000	5000.000000	89.999654	179.999654	1	
3000.000000	1500.000000	5000.000000	89.999654	179.999654	2	
3000.000000	1500.000000	5000.000000	64.030744	417.522113	3	
3000.000000	1500.000000	5500.000000	64.030744	417.522113	0	
3000.000000	1500.000000	5500.000000	89.999654	179.999654	1	
3000.000000	1500.000000	5500.000000	89.999654	179.999654	2	
3000.000000	1500.000000	5500.000000	64.030744	417.522113	3	
3000.000000	1500.000000	6000.000000	64.030744	417.522113	0	
3000.000000	1500.000000	6000.000000	89.999654	179.999654	1	
3000.000000	1500.000000	6000.000000	89.999654	179.999654	2	
3000.000000	1500.000000	6000.000000	64.030744	417.522113	3	
3000.000000	1500.000000	6500.000000	64.030744	417.522113	0	
3000.000000	1500.000000	6500.000000	89.999654	179.999654	1	
3000.000000	1500.000000	6500.000000	89.999654	179.999654	2	
3000.000000	1500.000000	6500.000000	64.030744	417.522113	3	
3000.000000	1500.000000	7000.000000	64.030744	417.522113	0	
3000.000000	1500.000000	7000.000000	89.999654	179.999654	1	
3000.000000	1500.000000	7000.000000	89.999654	179.999654	2	
3000.000000	1500.000000	7000.000000	64.030744	417.522113	3	
3000.000000	1500.000000	7500.000000	64.030744	417.522113	0	
3000.000000	1500.000000	7500.000000	89.999654	179.999654	1	
3000.000000	1500.000000	7500.000000	89.999654	179.999654	2	
3000.000000	1500.000000	7500.000000	64.030744	417.522113	3	
3000.000000	1500.000000	8000.000000	64.030744	417.522113	0	
3000.000000	1500.000000	8000.000000	89.999654	179.999654	1	
3000.000000	1500.000000	8000.000000	89.999654	179.999654	2	
3000.000000	1500.000000	8000.000000	64.030744	417.522113	3	
3000.000000	1500.000000	8500.000000	64.030744	417.522113	0	
3000.000000	1500.000000	8500.000000	89.999654	179.999654	1	
3000.000000	1500.000000	8500.000000	89.999654	179.999654	2	
3000.000000	1500.000000	8500.000000	64.030744	417.522113	3	
3000.000000	1500.000000	9000.000000	64.030744	417.522113	0	
3000.000000	1500.000000	9000.000000	89.999654	179.999654	1	
3000.000000	1500.000000	9000.000000	89.999654	179.999654	2	
3000.000000	1500.000000	9000.000000	64.030744	417.522113	3	
3000.000000	1500.000000	9500.000000	64.030744	417.522113	0	
3000.000000	1500.000000	9500.000000	89.999654	179.999654	1	
3000.000000	1500.000000	9500.000000	89.999654	179.999654	2	
3000.000000	1500.000000	9500.000000	64.030744	417.522113	3	
3000.000000	1500.000000	10000.000000	64.030744	417.522113	0	
3000.000000	1500.000000	10000.000000	89.999654	179.999654	1	
3000.000000	1500.000000	10000.000000	89.999654	179.999654	2	
3000.000000	1500.000000	10000.000000	64.030744	417.522113	3	
3500.000000	1500.000000	5000.000000	64.030744	417.522113	0	
3500.000000	1500.000000	5000.000000	89.999654	179.999654	1	
3500.000000	1500.000000	5000.000000	89.999654	179.999654	2	
3500.000000	1500.000000	5000.000000	64.030744	417.522113	3	
3500.000000	1500.000000	5500.000000	64.030744	417.522113	0	
3500.000000	1500.000000	5500.000000	89.999654	179.999654	1	
3500.000000	1500.000000	5500.000000	89.999654	179.999654	2	
3500.000000	1500.000000	5500.000000	64.030744	417.522113	3	
3500.000000	1500.000000	6000.000000	64.030744	417.522113	0	
3500.000000	1500.000000	6000.000000	89.999654	179.999654	1	
3500.000000	1500.000000	6000.000000	89.999654	179.999654	2	
3500.000000	1500.000000	6000.000000	64.030744	417.522113	3	
3500.000000	1500.000000	6500.000000	64.030744	417.522113	0	
3500.000000	1500.000000	6500.000000	89.999654	179.999654	1	
3500.000000	1500.000000	6500.000000	89.999654	179.999654	2	
3500.000000	1500.000000	6500.000000	64.030744	417.522113	3	
3500.000000	1500.000000	7000.000000	64.030744	417.522113	0	
3500.000000	1500.000000	7000.000000	89.999654	179.999654	1	
3500.000000	1500.000000	7000.000000	89.999654	179.999654	2	
3500.000000	1500.000000	7000.000000	64.030744	417.522113	3	
3500.000000	1500.000000	7500.000000	64.030744	417.522113	0	
3500.000000	1500.000000	7500.000000	89.999654	179.999654	1	
